TSN|Scientific Name|Author|Rank Name|Credibility|Name Usage|Accepted TSN|Accepted Name
773528|Anaxyrus quercicus|(Holbrook, 1840)|Species        |Reviewed|valid||
773528|Anaxyrus quercicus|(Holbrook, 1840)|Species        |Reviewed|valid||
773531|Anaxyrus terrestris|(Bonnaterre, 1789)|Species        |Reviewed|valid||
773532|Anaxyrus woodhousii|(Girard, 1854)|Species        |Reviewed|valid||
773532|Anaxyrus woodhousii|(Girard, 1854)|Species        |Reviewed|valid||
773532|Anaxyrus woodhousii|(Girard, 1854)|Species        |Reviewed|valid||
773532|Anaxyrus woodhousii|(Girard, 1854)|Species        |Reviewed|valid||
776698|Anaxyrus woodhousii woodhousii|(Girard, 1854)|Subspecies     |Reviewed|invalid|773532|Anaxyrus woodhousii
173702|Aneides hardii|(Taylor, 1941)|Species        |Reviewed|valid||
173702|Aneides hardii|(Taylor, 1941)|Species        |Reviewed|valid||
585729|Anolis liogaster|Boulenger, 1905|Species        |Reviewed|valid||
208469|Pseudoeurycea scandens|Walker, 1955|Species        |Reviewed|invalid|1100217|Aquiloeurycea scandens
77072|Arion circumscriptus|Johnston, 1828|Species        |Reviewed|valid||
173546|Ascaphus truei|Stejneger, 1899|Species        |Reviewed|valid||
1172773|Aspidoscelis inornata|(Baird, 1859)|Species        |Reviewed|invalid|1172352|Aspidoscelis inornatus
1098579|Atlantihyla spinipollex|(Schmidt, 1936)|Species        |Reviewed|valid||
585759|Barisia imbricata|(Wiegmann, 1828)|Species        |Reviewed|valid||
585759|Barisia imbricata|(Wiegmann, 1828)|Species        |Reviewed|valid||
585759|Barisia imbricata|(Wiegmann, 1828)|Species        |Reviewed|valid||
585760|Barisia levicollis|Stejneger, 1890|Species        |Reviewed|valid||
585760|Barisia levicollis|Stejneger, 1890|Species        |Reviewed|valid||
208343|Batrachoseps major|Camp, 1915|Species        |Reviewed|valid||
179967|Blarina brevicauda|(Say, 1823)|Species        |Reviewed|valid||
179967|Blarina brevicauda|(Say, 1823)|Species        |Reviewed|valid||
|Cambarellus  montezumae|||||
