Prey Highest,Prey Higher,Prey Phylum,Prey Class,Prey Order,Prey Family,Prey Genus,Prey Species,Prey Species Current,Prey Species ID #,Prey Count,Snake Species,Snake Subspecies,FullSpName,Snake Species ID #,Snake Age Class,Snake SVL(mm),Snake Sex,Location,Latitude,Longitude,Citation,Full Citation,Reference DOI
Reptile,Lizard,Chordata,Reptilia,Squamata,,,,,ITIS:173861,1,Thamnophis bogerti,,Thamnophis bogerti,ITIS:1084828,,,,Mexico,,,de Queiroz et al Unpublished Data,"de Queiroz, A., et al. Unpublished Data",
Invertebrate,Earthworm,Annelida,Clitellata,Opisthopora,,,,,ITIS:998439,27,Thamnophis brachystoma,,Thamnophis brachystoma,ITIS:174138,,,,Pennsylvania,40.87475,-77.80103,Asplund 1963,"Kennneth K. Asplund. (1963). Ecological Factors in the Distribution of Thamnophis brachystoma (Cope). Herpetologica, 19(2), 128–132. http://www.jstor.org/stable/3890548",
Invertebrate,Leech,Annelida,Clitellata,Arhynchobdellida,Hirudinidae,,,,ITIS:69407,4,Thamnophis butleri,,Thamnophis butleri,ITIS:174139,,,,"Cherry Hill. T2S, R7E, section 20., Washtenaw County, Michigan",44.35569,-85.44426,Carpenter 1952,"Carpenter, C. (1952). Comparative Ecology of the Common Garter Snake (Thamnophis s. sirtalis), the Ribbon Snake (Thamnophis s. sauritus), and Butler's Garter Snake (Thamnophis butleri) in Mixed Populations. 1952. Ecological Monographs 22(4): 235-258
",
Invertebrate,Earthworm,Annelida,Clitellata,Opisthopora,,,,,ITIS:998439,32,Thamnophis butleri,,Thamnophis butleri,ITIS:174139,,,,"Cherry Hill. T2S, R7E, section 20., Washtenaw County, Michigan",44.35569,-85.44426,Carpenter 1952,"Carpenter, C. (1952). Comparative Ecology of the Common Garter Snake (Thamnophis s. sirtalis), the Ribbon Snake (Thamnophis s. sauritus), and Butler's Garter Snake (Thamnophis butleri) in Mixed Populations. 1952. Ecological Monographs 22(4): 235-258
",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris triseriata,Pseudacris triseriata,ITIS:173525,1,Thamnophis butleri,,Thamnophis butleri,ITIS:174139,,,,"Amherstburg, , Ontario",42.1,-83.08333,Catling and Freedman 1980,"Catling, PM.; Freedman, B. (1980). Food and feeding behavior of sympatric snakes at Amherstburg, Ontario. Canadian Field-Naturalist 94(1): 28-33",
Invertebrate,Earthworm,Annelida,Clitellata,Opisthopora,,,,,ITIS:998439,27,Thamnophis butleri,,Thamnophis butleri,ITIS:174139,,,,"Amherstburg, , Ontario",42.1,-83.08333,Catling and Freedman 1980,"Catling, PM.; Freedman, B. (1980). Food and feeding behavior of sympatric snakes at Amherstburg, Ontario. Canadian Field-Naturalist 94(1): 28-33",
Amphibian,Salamander Adult,Chordata,Amphibia,Urodela,Plethodontidae,,,,ITIS:173631,6,Thamnophis chrysocephalus,,Thamnophis chrysocephalus,ITIS:586129,,,,Mexico,,,de Queiroz et al Unpublished Data,"de Queiroz, A., et al. Unpublished Data",
Amphibian ,Frog Tadpole,Chordata,Amphibia,Anura,,,,,ITIS:173423,3,Thamnophis chrysocephalus,,Thamnophis chrysocephalus,ITIS:586129,,,,Mexico,,,de Queiroz et al Unpublished Data,"de Queiroz, A., et al. Unpublished Data",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,,,,,ITIS:173423,12,Thamnophis chrysocephalus,,Thamnophis chrysocephalus,ITIS:586129,,,,Mexico,,,de Queiroz et al Unpublished Data,"de Queiroz, A., et al. Unpublished Data",
Fish,Fish,Chordata,Actinopterygii,,,,,,ITIS:161061,1,Thamnophis chrysocephalus,,Thamnophis chrysocephalus,ITIS:586129,,,,Mexico,,,de Queiroz et al Unpublished Data,"de Queiroz, A., et al. Unpublished Data",
