Prey Highest,Prey Higher,Prey Phylum,Prey Class,Prey Order,Prey Family,Prey Genus,Prey Species,Prey Species Current,Prey Species ID #,Prey Count,Snake Species,Snake Subspecies,FullSpName,Snake Species ID #,Snake Age Class,Snake SVL(mm),Snake Sex,Location,Latitude,Longitude,Citation,Full Citation,Reference DOI
Amphibian,Frog Tadpoles,Chordata,Amphibia,Anura,Microhylidae,Gastrophryne,Gastrophryne olivacea,Gastrophryne olivacea,ITIS:173468,9,Thamnophis cyrtopsis,,Thamnophis cyrtopsis,ITIS:174141,,,,Texas Natural History Museum ,,,Fouquette 1954,"M. J. Fouquette Jr 1954. Food competition among four sympatric species of garter snakes, genus Thamnophis. Texas J. Sci 6:172–188",
Amphibian,Frog Tadpoles,Chordata,Amphibia,Anura,Ranidae,Rana,Rana pipiens,Lithobates pipiens,ITIS:775108,1,Thamnophis cyrtopsis,,Thamnophis cyrtopsis,ITIS:174141,,,,Texas Natural History Museum ,,,Fouquette 1954,"M. J. Fouquette Jr 1954. Food competition among four sympatric species of garter snakes, genus Thamnophis. Texas J. Sci 6:172–188",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Ranidae,Rana,Rana pipiens,Lithobates pipiens,ITIS:775108,4,Thamnophis cyrtopsis,,Thamnophis cyrtopsis,ITIS:174141,,,,Texas Natural History Museum ,,,Fouquette 1954,"M. J. Fouquette Jr 1954. Food competition among four sympatric species of garter snakes, genus Thamnophis. Texas J. Sci 6:172–188",
Reptile,Lizard,Chordata,Reptilia,Squamata,Scincidae,Scincella,Scincella lateralis,Scincella lateralis,ITIS:174008,1,Thamnophis cyrtopsis,,Thamnophis cyrtopsis,ITIS:174141,,,,Texas Natural History Museum ,,,Fouquette 1954,"M. J. Fouquette Jr 1954. Food competition among four sympatric species of garter snakes, genus Thamnophis. Texas J. Sci 6:172–188",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Scaphiopodidae,Spea,Spea hammondii,Spea hammondii,ITIS:206990,2,Thamnophis cyrtopsis,,Thamnophis cyrtopsis,ITIS:174141,,,,Texas Natural History Museum ,,,Fouquette 1954,"M. J. Fouquette Jr 1954. Food competition among four sympatric species of garter snakes, genus Thamnophis. Texas J. Sci 6:172–188",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates catesbeianus,Lithobates catesbeianus,ITIS:775084,18,Thamnophis cyrtopsis,,Thamnophis cyrtopsis,ITIS:174141,,,,"Wall Lake, Catron County, New Mexico",,,Fleherty 1967,"Fleharty, E. D. (1967). Comparative Ecology of Thamnophis elegans, T. cyrtopsis, and T. rufipunctatus in New Mexico. The Southwestern Naturalist, 12(3), 207–229. https://doi.org/10.2307/3669111",https://doi.org/10.2307/3669111
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus punctatus,Anaxyrus punctatus,ITIS:773527,6,Thamnophis cyrtopsis,,Thamnophis cyrtopsis,ITIS:174141,Adult,,,"Burro and Francis Creeks, Bagdad, Mohave County, Arizona",,,Jones 1990,"Jones, K. B. (1990). Habitat Use and Predatory Behavior of Thamnophis cyrtopsis (Serpentes: Colubridae) in a Seasonally Variable Aquatic Environment. The Southwestern Naturalist, 35(2), 115–122. https://doi.org/10.2307/3671531",https://doi.org/10.2307/3671531
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla arenicolor,Dryophytes arenicolor,ITIS:1095296,41,Thamnophis cyrtopsis,,Thamnophis cyrtopsis,ITIS:174141,Adult,,,"Burro and Francis Creeks, Bagdad, Mohave County, Arizona",,,Jones 1990,"Jones, K. B. (1990). Habitat Use and Predatory Behavior of Thamnophis cyrtopsis (Serpentes: Colubridae) in a Seasonally Variable Aquatic Environment. The Southwestern Naturalist, 35(2), 115–122. https://doi.org/10.2307/3671531",https://doi.org/10.2307/3671531
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates yavapaiensis,Lithobates yavapaiensis,ITIS:775125,173,Thamnophis cyrtopsis,,Thamnophis cyrtopsis,ITIS:174141,Adult,,,"Burro and Francis Creeks, Bagdad, Mohave County, Arizona",,,Jones 1990,"Jones, K. B. (1990). Habitat Use and Predatory Behavior of Thamnophis cyrtopsis (Serpentes: Colubridae) in a Seasonally Variable Aquatic Environment. The Southwestern Naturalist, 35(2), 115–122. https://doi.org/10.2307/3671531",https://doi.org/10.2307/3671531
Amphibian,Frog Tadpole,Chordata,Amphibia,Anura,,,,,ITIS:173423,38,Thamnophis cyrtopsis,,Thamnophis cyrtopsis,ITIS:174141,Juvenile,,,"Burro and Francis Creeks, Bagdad, Mohave County, Arizona",,,Jones 1990,"Jones, K. B. (1990). Habitat Use and Predatory Behavior of Thamnophis cyrtopsis (Serpentes: Colubridae) in a Seasonally Variable Aquatic Environment. The Southwestern Naturalist, 35(2), 115–122. https://doi.org/10.2307/3671531",https://doi.org/10.2307/3671531
